estimator,feature_engineer,loss,accuracy,cost_time,best_iterations,budget
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,13.8267,"[648, 301, 320, 275, 255]",1
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,20.5606,"[618, 1278, 2048, 595, 1591]",1
random_forest,generate.autofeat,0.00668529,0.9933147113594041,13.6725,"[32, 16, 96, 16, 16]",1
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,11.3172,"[576, 660, 972, 524, 936]",1
lightgbm,generate.autofeat,0.00668529,0.9933147113594041,4.82926,"[153, 180, 108, 90, 198]",1
lightgbm,generate.autofeat,0.0066915,0.993308504034761,3.94305,"[192, 396, 498, 106, 262]",1
lightgbm,generate.autofeat,0.0077964,0.992203600248293,10.8464,"[100, 110, 300, 90, 136]",1
random_forest,select.boruta,0.0077964,0.992203600248293,10.4628,"[32, 64, 32, 128, 128]",1
lightgbm,generate.autofeat,0.0077964,0.992203600248293,4.55932,"[88, 273, 288, 72, 128]",1
lightgbm,operate.keep_going,0.0077964,0.992203600248293,3.5122,"[91, 203, 104, 90, 152]",1
lightgbm,generate.autofeat,0.0077964,0.992203600248293,10.0015,"[220, 216, 192, 112, 176]",1
lightgbm,generate.autofeat,0.00780261,0.9921973929236498,9.93322,"[657, 803, 621, 495, 586]",1
lightgbm,generate.autofeat,0.00780261,0.9921973929236498,8.09085,"[1534, 1043, 1670, 1280, 1323]",1
lightgbm,generate.autofeat,0.00780261,0.9921973929236498,11.0147,"[188, 230, 210, 162, 336]",1
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,12.6056,"[88, 198, 104, 98, 128]",1
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,14.4701,"[352, 596, 468, 339, 372]",1
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,12.9251,"[113, 170, 116, 66, 105]",1
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,4.96588,"[249, 269, 335, 194, 257]",1
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,6.83149,"[152, 272, 252, 152, 264]",1
lightgbm,operate.keep_going,0.00890751,0.9910924891371818,6.00101,"[308, 462, 282, 207, 239]",1
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,10.3032,"[43, 50, 38, 36, 39]",1
lightgbm,generate.autofeat,0.00890751,0.9910924891371818,9.72555,"[551, 609, 990, 419, 413]",1
